emp_id,week,mon,tues,wed,thur,fri,sat,sun
7,28/1/24,0,1,3,1,0,1,0
8,28/1/24,2,3,1,1,0,3,3
9,28/1/24,2,2,2,3,1,2,3
10,28/1/24,1,1,1,2,1,1,0
11,28/1/24,2,1,2,1,2,1,0
13,28/1/24,3,1,0,1,0,2,0
15,28/1/24,1,0,3,3,2,2,2
16,28/1/24,0,1,3,1,3,2,1
17,28/1/24,1,2,3,1,3,0,0
20,28/1/24,2,2,1,3,1,1,1
21,28/1/24,1,1,0,0,2,1,2
22,28/1/24,2,0,2,1,3,3,1
23,28/1/24,3,2,3,0,0,0,3
24,28/1/24,3,3,3,0,3,1,3
29,28/1/24,3,3,3,2,1,1,3
1,31/12/23,0,3,3,3,3,3,3
2,31/12/23,3,3,3,3,3,3,3
4,31/12/23,3,3,3,3,3,3,3
6,31/12/23,1,3,3,3,3,3,3
12,31/12/23,3,0,3,3,3,3,3
14,31/12/23,3,3,3,3,0,3,3
18,31/12/23,3,3,3,3,3,3,3
19,31/12/23,3,3,3,3,3,3,3
25,31/12/23,3,3,3,3,3,0,3
26,31/12/23,0,3,3,3,3,3,3
27,31/12/23,3,3,3,3,3,3,3
28,31/12/23,3,3,3,0,3,3,3
30,31/12/23,3,3,3,0,3,3,3
1,7/1/24,3,3,3,3,3,3,3
2,7/1/24,3,3,3,3,3,3,3
4,7/1/24,3,3,3,3,3,3,3
6,7/1/24,1,3,3,3,3,3,3
12,7/1/24,3,3,3,3,3,3,3
14,7/1/24,3,3,3,3,3,0,3
18,7/1/24,3,3,3,3,3,3,3
19,7/1/24,3,3,3,3,3,3,3
25,7/1/24,3,0,3,3,3,3,3
26,7/1/24,3,3,0,3,3,3,3
27,7/1/24,3,3,3,3,3,3,3
28,7/1/24,3,3,3,3,3,3,3
30,7/1/24,3,1,3,1,3,3,3
1,14/1/24,3,3,3,3,3,3,3
2,14/1/24,3,3,3,3,3,3,3
4,14/1/24,3,3,3,3,3,3,3
6,14/1/24,1,3,3,3,3,3,3
12,14/1/24,3,3,3,3,3,3,3
14,14/1/24,3,0,3,3,3,3,3
18,14/1/24,3,3,3,3,3,3,3
19,14/1/24,3,3,3,3,0,3,3
25,14/1/24,3,3,3,3,3,3,3
26,14/1/24,3,3,0,3,3,3,3
27,14/1/24,3,3,3,3,3,3,3
28,14/1/24,3,3,3,3,3,3,3
30,14/1/24,3,1,3,3,3,3,3
1,21/1/24,3,3,3,3,3,3,3
2,21/1/24,3,3,3,3,3,3,3
4,21/1/24,3,3,3,3,3,3,3
6,21/1/24,1,3,3,3,3,3,3
12,21/1/24,3,3,3,3,3,3,3
14,21/1/24,3,3,3,3,3,3,2
18,21/1/24,3,3,3,3,3,3,3
19,21/1/24,3,3,3,3,3,3,3
25,21/1/24,3,3,3,3,3,3,3
26,21/1/24,3,3,3,3,3,3,3
27,21/1/24,3,3,3,3,3,3,3
28,21/1/24,3,3,3,3,3,3,3
30,21/1/24,3,1,3,3,3,3,1
1,28/1/24,3,3,3,3,3,3,3
2,28/1/24,3,3,3,3,3,3,3
4,28/1/24,3,3,3,3,3,3,3
6,28/1/24,1,3,3,3,3,3,3
12,28/1/24,3,3,3,3,3,3,3
14,28/1/24,3,3,3,3,3,3,3
18,28/1/24,3,3,3,3,3,3,3
19,28/1/24,3,3,3,0,3,3,3
25,28/1/24,3,3,0,3,3,3,3
26,28/1/24,3,3,3,3,3,3,0
27,28/1/24,3,3,3,3,3,3,3
28,28/1/24,3,3,3,3,3,3,3
30,28/1/24,3,3,3,3,3,3,3
