Date,Day,Time,Customers
2024-04-29,Monday,12:00:00,44
2024-04-29,Monday,13:00:00,46
2024-04-29,Monday,14:00:00,47
2024-04-29,Monday,15:00:00,32
2024-04-29,Monday,16:00:00,25
2024-04-29,Monday,17:00:00,23
2024-04-29,Monday,18:00:00,22
2024-04-29,Monday,19:00:00,23
2024-04-29,Monday,20:00:00,16
2024-04-29,Monday,21:00:00,12
2024-04-28,Sunday,10:00:00,15
2024-04-28,Sunday,11:00:00,35
2024-04-28,Sunday,12:00:00,49
2024-04-28,Sunday,13:00:00,58
2024-04-28,Sunday,14:00:00,53
2024-04-28,Sunday,15:00:00,49
2024-04-28,Sunday,16:00:00,40
2024-04-28,Sunday,17:00:00,44
2024-04-28,Sunday,18:00:00,47
2024-04-28,Sunday,19:00:00,39
2024-04-28,Sunday,20:00:00,22
2024-04-28,Sunday,21:00:00,11
2024-04-27,Saturday,10:00:00,8
2024-04-27,Saturday,11:00:00,23
2024-04-27,Saturday,12:00:00,3
2024-04-27,Saturday,13:00:00,45
2024-04-27,Saturday,14:00:00,45
2024-04-27,Saturday,15:00:00,37
2024-04-27,Saturday,16:00:00,32
2024-04-27,Saturday,17:00:00,38
2024-04-27,Saturday,18:00:00,47
2024-04-27,Saturday,19:00:00,49
2024-04-27,Saturday,20:00:00,33
2024-04-27,Saturday,21:00:00,13
2024-04-26,Friday,10:00:00,16
2024-04-26,Friday,11:00:00,33
2024-04-26,Friday,12:00:00,48
2024-04-26,Friday,13:00:00,45
2024-04-26,Friday,14:00:00,43
2024-04-26,Friday,15:00:00,35
2024-04-26,Friday,16:00:00,32
2024-04-26,Friday,17:00:00,31
2024-04-26,Friday,18:00:00,34
2024-04-26,Friday,19:00:00,33
2024-04-26,Friday,20:00:00,25
2024-04-26,Friday,21:00:00,18
2024-04-25,Thursday,10:00:00,11
2024-04-25,Thursday,11:00:00,22
2024-04-25,Thursday,12:00:00,37
2024-04-25,Thursday,13:00:00,50
2024-04-25,Thursday,14:00:00,39
2024-04-25,Thursday,15:00:00,31
2024-04-25,Thursday,16:00:00,25
2024-04-25,Thursday,17:00:00,27
2024-04-25,Thursday,18:00:00,28
2024-04-25,Thursday,19:00:00,24
2024-04-25,Thursday,20:00:00,21
2024-04-25,Thursday,21:00:00,11
2024-04-24,Wednesday,10:00:00,17
2024-04-24,Wednesday,11:00:00,29
2024-04-24,Wednesday,12:00:00,45
2024-04-24,Wednesday,13:00:00,48
2024-04-24,Wednesday,14:00:00,40
2024-04-24,Wednesday,15:00:00,35
2024-04-24,Wednesday,16:00:00,32
2024-04-24,Wednesday,17:00:00,31
2024-04-24,Wednesday,18:00:00,24
2024-04-24,Wednesday,19:00:00,19
2024-04-24,Wednesday,20:00:00,14
2024-04-24,Wednesday,21:00:00,7
2024-04-23,Tuesday,10:00:00,40
2024-04-23,Tuesday,11:00:00,79
2024-04-23,Tuesday,12:00:00,105
2024-04-23,Tuesday,13:00:00,100
2024-04-23,Tuesday,14:00:00,74
2024-04-23,Tuesday,15:00:00,42
2024-04-23,Tuesday,16:00:00,26
2024-04-23,Tuesday,17:00:00,27
2024-04-23,Tuesday,18:00:00,29
2024-04-23,Tuesday,19:00:00,20
2024-04-23,Tuesday,20:00:00,14
2024-04-23,Tuesday,21:00:00,7
2024-04-22,Monday,10:00:00,10
2024-04-22,Monday,11:00:00,22
2024-04-22,Monday,12:00:00,42
2024-04-22,Monday,13:00:00,51
2024-04-22,Monday,14:00:00,48
2024-04-22,Monday,15:00:00,30
2024-04-22,Monday,16:00:00,25
2024-04-22,Monday,17:00:00,22
2024-04-22,Monday,18:00:00,22
2024-04-22,Monday,19:00:00,25
2024-04-22,Monday,20:00:00,19
2024-04-22,Monday,21:00:00,12
2024-04-21,Sunday,10:00:00,13
2024-04-21,Sunday,11:00:00,37
2024-04-21,Sunday,12:00:00,50
2024-04-21,Sunday,13:00:00,58
2024-04-21,Sunday,14:00:00,56
2024-04-21,Sunday,15:00:00,44
2024-04-21,Sunday,16:00:00,44
2024-04-21,Sunday,17:00:00,43
2024-04-21,Sunday,18:00:00,42
2024-04-21,Sunday,19:00:00,37
2024-04-21,Sunday,20:00:00,23
2024-04-21,Sunday,21:00:00,13
2024-04-20,Saturday,10:00:00,10
2024-04-20,Saturday,11:00:00,20
2024-04-20,Saturday,12:00:00,3
2024-04-20,Saturday,13:00:00,44
2024-04-20,Saturday,14:00:00,48
2024-04-20,Saturday,15:00:00,42
2024-04-20,Saturday,16:00:00,32
2024-04-20,Saturday,17:00:00,44
2024-04-20,Saturday,18:00:00,47
2024-04-20,Saturday,19:00:00,46
2024-04-20,Saturday,20:00:00,31
2024-04-20,Saturday,21:00:00,13
2024-04-19,Friday,10:00:00,14
2024-04-19,Friday,11:00:00,33
2024-04-19,Friday,12:00:00,48
2024-04-19,Friday,13:00:00,52
2024-04-19,Friday,14:00:00,44
2024-04-19,Friday,15:00:00,38
2024-04-19,Friday,16:00:00,34
2024-04-19,Friday,17:00:00,36
2024-04-19,Friday,18:00:00,37
2024-04-19,Friday,19:00:00,40
2024-04-19,Friday,20:00:00,27
2024-04-19,Friday,21:00:00,18
2024-04-18,Thursday,10:00:00,11
2024-04-18,Thursday,11:00:00,21
2024-04-18,Thursday,12:00:00,38
2024-04-18,Thursday,13:00:00,50
2024-04-18,Thursday,14:00:00,37
2024-04-18,Thursday,15:00:00,29
2024-04-18,Thursday,16:00:00,28
2024-04-18,Thursday,17:00:00,26
2024-04-18,Thursday,18:00:00,28
2024-04-18,Thursday,19:00:00,24
2024-04-18,Thursday,20:00:00,21
2024-04-18,Thursday,21:00:00,10
2024-04-17,Wednesday,10:00:00,19
2024-04-17,Wednesday,11:00:00,33
2024-04-17,Wednesday,12:00:00,44
2024-04-17,Wednesday,13:00:00,49
2024-04-17,Wednesday,14:00:00,40
2024-04-17,Wednesday,15:00:00,36
2024-04-17,Wednesday,16:00:00,32
2024-04-17,Wednesday,17:00:00,28
2024-04-17,Wednesday,18:00:00,23
2024-04-17,Wednesday,19:00:00,20
2024-04-17,Wednesday,20:00:00,16
2024-04-17,Wednesday,21:00:00,7
2024-04-16,Tuesday,10:00:00,40
2024-04-16,Tuesday,11:00:00,88
2024-04-16,Tuesday,12:00:00,109
2024-04-16,Tuesday,13:00:00,97
2024-04-16,Tuesday,14:00:00,75
2024-04-16,Tuesday,15:00:00,47
2024-04-16,Tuesday,16:00:00,29
2024-04-16,Tuesday,17:00:00,26
2024-04-16,Tuesday,18:00:00,29
2024-04-16,Tuesday,19:00:00,18
2024-04-16,Tuesday,20:00:00,16
2024-04-16,Tuesday,21:00:00,7
2024-04-15,Monday,10:00:00,10
2024-04-15,Monday,11:00:00,22
2024-04-15,Monday,12:00:00,43
2024-04-15,Monday,13:00:00,56
2024-04-15,Monday,14:00:00,47
2024-04-15,Monday,15:00:00,32
2024-04-15,Monday,16:00:00,29
2024-04-15,Monday,17:00:00,21
2024-04-15,Monday,18:00:00,22
2024-04-15,Monday,19:00:00,22
2024-04-15,Monday,20:00:00,20
2024-04-15,Monday,21:00:00,12
2024-04-14,Sunday,10:00:00,15
2024-04-14,Sunday,11:00:00,33
2024-04-14,Sunday,12:00:00,52
2024-04-14,Sunday,13:00:00,56
2024-04-14,Sunday,14:00:00,50
2024-04-14,Sunday,15:00:00,47
2024-04-14,Sunday,16:00:00,43
2024-04-14,Sunday,17:00:00,44
2024-04-14,Sunday,18:00:00,47
2024-04-14,Sunday,19:00:00,38
2024-04-14,Sunday,20:00:00,25
2024-04-14,Sunday,21:00:00,12
2024-04-13,Saturday,10:00:00,9
2024-04-13,Saturday,11:00:00,25
2024-04-13,Saturday,12:00:00,3
2024-04-13,Saturday,13:00:00,51
2024-04-13,Saturday,14:00:00,49
2024-04-13,Saturday,15:00:00,38
2024-04-13,Saturday,16:00:00,36
2024-04-13,Saturday,17:00:00,44
2024-04-13,Saturday,18:00:00,49
2024-04-13,Saturday,19:00:00,49
2024-04-13,Saturday,20:00:00,31
2024-04-13,Saturday,21:00:00,13
2024-04-12,Friday,10:00:00,14
2024-04-12,Friday,11:00:00,29
2024-04-12,Friday,12:00:00,47
2024-04-12,Friday,13:00:00,49
2024-04-12,Friday,14:00:00,43
2024-04-12,Friday,15:00:00,35
2024-04-12,Friday,16:00:00,32
2024-04-12,Friday,17:00:00,36
2024-04-12,Friday,18:00:00,40
2024-04-12,Friday,19:00:00,39
2024-04-12,Friday,20:00:00,25
2024-04-12,Friday,21:00:00,18
2024-04-11,Thursday,10:00:00,11
2024-04-11,Thursday,11:00:00,22
2024-04-11,Thursday,12:00:00,37
2024-04-11,Thursday,13:00:00,49
2024-04-11,Thursday,14:00:00,38
2024-04-11,Thursday,15:00:00,30
2024-04-11,Thursday,16:00:00,24
2024-04-11,Thursday,17:00:00,26
2024-04-11,Thursday,18:00:00,29
2024-04-11,Thursday,19:00:00,22
2024-04-11,Thursday,20:00:00,21
2024-04-11,Thursday,21:00:00,10
2024-04-10,Wednesday,10:00:00,19
2024-04-10,Wednesday,11:00:00,30
2024-04-10,Wednesday,12:00:00,42
2024-04-10,Wednesday,13:00:00,51
2024-04-10,Wednesday,14:00:00,38
2024-04-10,Wednesday,15:00:00,33
2024-04-10,Wednesday,16:00:00,32
2024-04-10,Wednesday,17:00:00,30
2024-04-10,Wednesday,18:00:00,27
2024-04-10,Wednesday,19:00:00,19
2024-04-10,Wednesday,20:00:00,15
2024-04-10,Wednesday,21:00:00,8
2024-04-09,Tuesday,10:00:00,41
2024-04-09,Tuesday,11:00:00,82
2024-04-09,Tuesday,12:00:00,100
2024-04-09,Tuesday,13:00:00,106
2024-04-09,Tuesday,14:00:00,75
2024-04-09,Tuesday,15:00:00,43
2024-04-09,Tuesday,16:00:00,31
2024-04-09,Tuesday,17:00:00,26
2024-04-09,Tuesday,18:00:00,28
2024-04-09,Tuesday,19:00:00,20
2024-04-09,Tuesday,20:00:00,15
2024-04-09,Tuesday,21:00:00,7
2024-04-08,Monday,10:00:00,9
2024-04-08,Monday,11:00:00,23
2024-04-08,Monday,12:00:00,40
2024-04-08,Monday,13:00:00,51
2024-04-08,Monday,14:00:00,44
2024-04-08,Monday,15:00:00,33
2024-04-08,Monday,16:00:00,26
2024-04-08,Monday,17:00:00,22
2024-04-08,Monday,18:00:00,25
2024-04-08,Monday,19:00:00,25
2024-04-08,Monday,20:00:00,18
2024-04-08,Monday,21:00:00,12
2024-04-07,Sunday,10:00:00,14
2024-04-07,Sunday,11:00:00,35
2024-04-07,Sunday,12:00:00,48
2024-04-07,Sunday,13:00:00,60
2024-04-07,Sunday,14:00:00,58
2024-04-07,Sunday,15:00:00,49
2024-04-07,Sunday,16:00:00,44
2024-04-07,Sunday,17:00:00,44
2024-04-07,Sunday,18:00:00,42
2024-04-07,Sunday,19:00:00,38
2024-04-07,Sunday,20:00:00,22
2024-04-07,Sunday,21:00:00,12
2024-04-06,Saturday,10:00:00,9
2024-04-06,Saturday,11:00:00,25
2024-04-06,Saturday,12:00:00,3
2024-04-06,Saturday,13:00:00,48
2024-04-06,Saturday,14:00:00,50
2024-04-06,Saturday,15:00:00,42
2024-04-06,Saturday,16:00:00,33
2024-04-06,Saturday,17:00:00,36
2024-04-06,Saturday,18:00:00,53
2024-04-06,Saturday,19:00:00,51
2024-04-06,Saturday,20:00:00,29
2024-04-06,Saturday,21:00:00,13
2024-04-05,Friday,10:00:00,16
2024-04-05,Friday,11:00:00,31
2024-04-05,Friday,12:00:00,49
2024-04-05,Friday,13:00:00,53
2024-04-05,Friday,14:00:00,42
2024-04-05,Friday,15:00:00,34
2024-04-05,Friday,16:00:00,35
2024-04-05,Friday,17:00:00,34
2024-04-05,Friday,18:00:00,40
2024-04-05,Friday,19:00:00,37
2024-04-05,Friday,20:00:00,22
2024-04-05,Friday,21:00:00,18
2024-04-04,Thursday,10:00:00,11
2024-04-04,Thursday,11:00:00,22
2024-04-04,Thursday,12:00:00,37
2024-04-04,Thursday,13:00:00,46
2024-04-04,Thursday,14:00:00,35
2024-04-04,Thursday,15:00:00,26
2024-04-04,Thursday,16:00:00,26
2024-04-04,Thursday,17:00:00,27
2024-04-04,Thursday,18:00:00,32
2024-04-04,Thursday,19:00:00,26
2024-04-04,Thursday,20:00:00,19
2024-04-04,Thursday,21:00:00,11
2024-04-03,Wednesday,10:00:00,17
2024-04-03,Wednesday,11:00:00,30
2024-04-03,Wednesday,12:00:00,47
2024-04-03,Wednesday,13:00:00,45
2024-04-03,Wednesday,14:00:00,37
2024-04-03,Wednesday,15:00:00,36
2024-04-03,Wednesday,16:00:00,34
2024-04-03,Wednesday,17:00:00,26
2024-04-03,Wednesday,18:00:00,25
2024-04-03,Wednesday,19:00:00,20
2024-04-03,Wednesday,20:00:00,15
2024-04-03,Wednesday,21:00:00,8
2024-04-02,Tuesday,10:00:00,46
2024-04-02,Tuesday,11:00:00,79
2024-04-02,Tuesday,12:00:00,107
2024-04-02,Tuesday,13:00:00,98
2024-04-02,Tuesday,14:00:00,80
2024-04-02,Tuesday,15:00:00,44
2024-04-02,Tuesday,16:00:00,27
2024-04-02,Tuesday,17:00:00,26
2024-04-02,Tuesday,18:00:00,29
2024-04-02,Tuesday,19:00:00,20
2024-04-02,Tuesday,20:00:00,14
2024-04-02,Tuesday,21:00:00,7
2024-04-01,Monday,10:00:00,10
2024-04-01,Monday,11:00:00,24
2024-04-01,Monday,12:00:00,41
2024-04-01,Monday,13:00:00,49
2024-04-01,Monday,14:00:00,46
2024-04-01,Monday,15:00:00,32
2024-04-01,Monday,16:00:00,27
2024-04-01,Monday,17:00:00,24
2024-04-01,Monday,18:00:00,23
2024-04-01,Monday,19:00:00,24
2024-04-01,Monday,20:00:00,19
2024-04-01,Monday,21:00:00,12
2024-03-31,Sunday,10:00:00,14
2024-03-31,Sunday,11:00:00,33
2024-03-31,Sunday,12:00:00,53
2024-03-31,Sunday,13:00:00,58
2024-03-31,Sunday,14:00:00,58
2024-03-31,Sunday,15:00:00,48
2024-03-31,Sunday,16:00:00,41
2024-03-31,Sunday,17:00:00,44
2024-03-31,Sunday,18:00:00,43
2024-03-31,Sunday,19:00:00,36
2024-03-31,Sunday,20:00:00,25
2024-03-31,Sunday,21:00:00,10
2024-03-30,Saturday,10:00:00,10
2024-03-30,Saturday,11:00:00,21
2024-03-30,Saturday,12:00:00,3
2024-03-30,Saturday,13:00:00,46
2024-03-30,Saturday,14:00:00,50
2024-03-30,Saturday,15:00:00,41
2024-03-30,Saturday,16:00:00,37
2024-03-30,Saturday,17:00:00,42
2024-03-30,Saturday,18:00:00,51
2024-03-30,Saturday,19:00:00,48
2024-03-30,Saturday,20:00:00,29
2024-03-30,Saturday,21:00:00,13
2024-03-29,Friday,10:00:00,15
2024-03-29,Friday,11:00:00,30
2024-03-29,Friday,12:00:00,50
2024-03-29,Friday,13:00:00,49
2024-03-29,Friday,14:00:00,39
2024-03-29,Friday,15:00:00,38
2024-03-29,Friday,16:00:00,36
2024-03-29,Friday,17:00:00,35
2024-03-29,Friday,18:00:00,35
2024-03-29,Friday,19:00:00,36
2024-03-29,Friday,20:00:00,28
2024-03-29,Friday,21:00:00,17
2024-03-28,Thursday,10:00:00,12
2024-03-28,Thursday,11:00:00,21
2024-03-28,Thursday,12:00:00,35
2024-03-28,Thursday,13:00:00,50
2024-03-28,Thursday,14:00:00,39
2024-03-28,Thursday,15:00:00,29
2024-03-28,Thursday,16:00:00,25
2024-03-28,Thursday,17:00:00,26
2024-03-28,Thursday,18:00:00,30
2024-03-28,Thursday,19:00:00,24
2024-03-28,Thursday,20:00:00,22
2024-03-28,Thursday,21:00:00,11
2024-03-27,Wednesday,10:00:00,19
2024-03-27,Wednesday,11:00:00,31
2024-03-27,Wednesday,12:00:00,44
2024-03-27,Wednesday,13:00:00,46
2024-03-27,Wednesday,14:00:00,36
2024-03-27,Wednesday,15:00:00,35
2024-03-27,Wednesday,16:00:00,31
2024-03-27,Wednesday,17:00:00,28
2024-03-27,Wednesday,18:00:00,26
2024-03-27,Wednesday,19:00:00,20
2024-03-27,Wednesday,20:00:00,16
2024-03-27,Wednesday,21:00:00,7
2024-03-26,Tuesday,10:00:00,43
2024-03-26,Tuesday,11:00:00,82
2024-03-26,Tuesday,12:00:00,105
2024-03-26,Tuesday,13:00:00,99
2024-03-26,Tuesday,14:00:00,80
2024-03-26,Tuesday,15:00:00,46
2024-03-26,Tuesday,16:00:00,28
2024-03-26,Tuesday,17:00:00,27
2024-03-26,Tuesday,18:00:00,28
2024-03-26,Tuesday,19:00:00,20
2024-03-26,Tuesday,20:00:00,13
2024-03-26,Tuesday,21:00:00,7
2024-03-25,Monday,10:00:00,8
2024-03-25,Monday,11:00:00,24
2024-03-25,Monday,12:00:00,41
2024-03-25,Monday,13:00:00,54
2024-03-25,Monday,14:00:00,45
2024-03-25,Monday,15:00:00,35
2024-03-25,Monday,16:00:00,27
2024-03-25,Monday,17:00:00,23
2024-03-25,Monday,18:00:00,21
2024-03-25,Monday,19:00:00,25
2024-03-25,Monday,20:00:00,20
2024-03-25,Monday,21:00:00,12
2024-03-24,Sunday,10:00:00,13
2024-03-24,Sunday,11:00:00,38
2024-03-24,Sunday,12:00:00,45
2024-03-24,Sunday,13:00:00,60
2024-03-24,Sunday,14:00:00,58
2024-03-24,Sunday,15:00:00,45
2024-03-24,Sunday,16:00:00,45
2024-03-24,Sunday,17:00:00,46
2024-03-24,Sunday,18:00:00,41
2024-03-24,Sunday,19:00:00,35
2024-03-24,Sunday,20:00:00,22
2024-03-24,Sunday,21:00:00,12
2024-03-23,Saturday,10:00:00,9
2024-03-23,Saturday,11:00:00,23
2024-03-23,Saturday,12:00:00,3
2024-03-23,Saturday,13:00:00,44
2024-03-23,Saturday,14:00:00,42
2024-03-23,Saturday,15:00:00,41
2024-03-23,Saturday,16:00:00,36
2024-03-23,Saturday,17:00:00,45
2024-03-23,Saturday,18:00:00,49
2024-03-23,Saturday,19:00:00,49
2024-03-23,Saturday,20:00:00,32
2024-03-23,Saturday,21:00:00,13
2024-03-22,Friday,10:00:00,17
2024-03-22,Friday,11:00:00,31
2024-03-22,Friday,12:00:00,48
2024-03-22,Friday,13:00:00,52
2024-03-22,Friday,14:00:00,42
2024-03-22,Friday,15:00:00,38
2024-03-22,Friday,16:00:00,35
2024-03-22,Friday,17:00:00,35
2024-03-22,Friday,18:00:00,38
2024-03-22,Friday,19:00:00,38
2024-03-22,Friday,20:00:00,27
2024-03-22,Friday,21:00:00,19
2024-03-21,Thursday,10:00:00,11
2024-03-21,Thursday,11:00:00,20
2024-03-21,Thursday,12:00:00,42
2024-03-21,Thursday,13:00:00,47
2024-03-21,Thursday,14:00:00,39
2024-03-21,Thursday,15:00:00,27
2024-03-21,Thursday,16:00:00,23
2024-03-21,Thursday,17:00:00,27
2024-03-21,Thursday,18:00:00,30
2024-03-21,Thursday,19:00:00,23
2024-03-21,Thursday,20:00:00,20
2024-03-21,Thursday,21:00:00,10
2024-03-20,Wednesday,10:00:00,19
2024-03-20,Wednesday,11:00:00,29
2024-03-20,Wednesday,12:00:00,44
2024-03-20,Wednesday,13:00:00,44
2024-03-20,Wednesday,14:00:00,38
2024-03-20,Wednesday,15:00:00,37
2024-03-20,Wednesday,16:00:00,36
2024-03-20,Wednesday,17:00:00,29
2024-03-20,Wednesday,18:00:00,26
2024-03-20,Wednesday,19:00:00,20
2024-03-20,Wednesday,20:00:00,15
2024-03-20,Wednesday,21:00:00,7
2024-03-19,Tuesday,10:00:00,41
2024-03-19,Tuesday,11:00:00,76
2024-03-19,Tuesday,12:00:00,95
2024-03-19,Tuesday,13:00:00,100
2024-03-19,Tuesday,14:00:00,75
2024-03-19,Tuesday,15:00:00,44
2024-03-19,Tuesday,16:00:00,31
2024-03-19,Tuesday,17:00:00,23
2024-03-19,Tuesday,18:00:00,29
2024-03-19,Tuesday,19:00:00,22
2024-03-19,Tuesday,20:00:00,15
2024-03-19,Tuesday,21:00:00,7
2024-03-18,Monday,10:00:00,9
2024-03-18,Monday,11:00:00,22
2024-03-18,Monday,12:00:00,44
2024-03-18,Monday,13:00:00,49
2024-03-18,Monday,14:00:00,47
2024-03-18,Monday,15:00:00,34
2024-03-18,Monday,16:00:00,26
2024-03-18,Monday,17:00:00,22
2024-03-18,Monday,18:00:00,24
2024-03-18,Monday,19:00:00,26
2024-03-18,Monday,20:00:00,17
2024-03-18,Monday,21:00:00,12
2024-03-17,Sunday,10:00:00,13
2024-03-17,Sunday,11:00:00,36
2024-03-17,Sunday,12:00:00,49
2024-03-17,Sunday,13:00:00,58
2024-03-17,Sunday,14:00:00,55
2024-03-17,Sunday,15:00:00,45
2024-03-17,Sunday,16:00:00,46
2024-03-17,Sunday,17:00:00,44
2024-03-17,Sunday,18:00:00,45
2024-03-17,Sunday,19:00:00,38
2024-03-17,Sunday,20:00:00,22
2024-03-17,Sunday,21:00:00,13
2024-03-16,Saturday,10:00:00,9
2024-03-16,Saturday,11:00:00,23
2024-03-16,Saturday,12:00:00,3
2024-03-16,Saturday,13:00:00,49
2024-03-16,Saturday,14:00:00,51
2024-03-16,Saturday,15:00:00,43
2024-03-16,Saturday,16:00:00,41
2024-03-16,Saturday,17:00:00,39
2024-03-16,Saturday,18:00:00,53
2024-03-16,Saturday,19:00:00,46
2024-03-16,Saturday,20:00:00,33
2024-03-16,Saturday,21:00:00,13
2024-03-15,Friday,10:00:00,14
2024-03-15,Friday,11:00:00,30
2024-03-15,Friday,12:00:00,52
2024-03-15,Friday,13:00:00,49
2024-03-15,Friday,14:00:00,45
2024-03-15,Friday,15:00:00,36
2024-03-15,Friday,16:00:00,37
2024-03-15,Friday,17:00:00,32
2024-03-15,Friday,18:00:00,36
2024-03-15,Friday,19:00:00,37
2024-03-15,Friday,20:00:00,25
2024-03-15,Friday,21:00:00,18
2024-03-14,Thursday,10:00:00,10
2024-03-14,Thursday,11:00:00,21
2024-03-14,Thursday,12:00:00,40
2024-03-14,Thursday,13:00:00,51
2024-03-14,Thursday,14:00:00,38
2024-03-14,Thursday,15:00:00,29
2024-03-14,Thursday,16:00:00,26
2024-03-14,Thursday,17:00:00,29
2024-03-14,Thursday,18:00:00,30
2024-03-14,Thursday,19:00:00,22
2024-03-14,Thursday,20:00:00,19
2024-03-14,Thursday,21:00:00,11
2024-03-13,Wednesday,10:00:00,19
2024-03-13,Wednesday,11:00:00,29
2024-03-13,Wednesday,12:00:00,43
